Child,Parent
circumscription,non-monotonic reasoning
defeasible logic,non-monotonic reasoning
defeasible reasoning,non-monotonic reasoning
default reasoning,non-monotonic reasoning
default logic,non-monotonic reasoning
circumscription,nonmonotonic reasoning
defeasible logic,nonmonotonic reasoning
defeasible reasoning,nonmonotonic reasoning
default reasoning,nonmonotonic reasoning
default logic,nonmonotonic reasoning
equivalence relations,equivalence classes
equivalence relation,equivalence classes
equivalence problem,equivalence classes
equivalence checking,equivalence classes
latent variable models,latent variable
latent variable models,latent variables
equivalence relations,equivalence class
equivalence relation,equivalence class
equivalence problem,equivalence class
equivalence checking,equivalence class
sequence labeling,conditional random fields %28crfs%29
feature function,conditional random fields %28crfs%29
sequence labeling,conditional random field
feature function,conditional random field
sequence labeling,conditional random fields
feature function,conditional random fields
semantic descriptions,semantic features
semantic service,semantic features
semantic gap,semantic features
concept detection,semantic gap
semantic images,semantic gap
semantic concept,semantic features
concept detection,semantic concept
semantic images,semantic concept
semantic data,semantic features
folksonomy,web 2.0
collaborative tagging,folksonomy
tag recommendations,folksonomy
tag recommendation,folksonomy
tag-based,social tagging
tag recommendations,social tagging
tag recommendation,social tagging
folksonomies,web 2.0
collaborative tagging,folksonomies
tag recommendations,folksonomies
tag recommendation,folksonomies
web 2.0 applications,web 2.0
social software,web 2.0
wiki,web 2.0
mediawiki,wiki
collaborative writing,wiki
mashup,web 2.0
enterprise 2.0,web 2.0
ajax,web 2.0
social bookmarking,web 2.0
web 2.0 technologies,web 2.0
wikis,web 2.0
social web,web 2.0
social webs,web 2.0
user-generated content,web 2.0
user generated content,web 2.0
dbpedia,linked data
web of data,linked data
linked open data,linked data
multiple views,multi-view
multiview video,multi-view
mvc,multiview video coding
3d video coding,multiview video coding
mvc,multi-view video coding
3d video coding,multi-view video coding
multi-view video,multi-view
multi-view image,multi-view
multiview video coding,multi-view
multi-view video coding,multi-view
view synthesis,multi-view
multi-view learning,multi-view
multi-view stereo,multi-view
view synthesis,3d video
stereoscopic video,3d video
stereo video,3d video
3d video coding,3d video
view synthesis,3-d videos
stereoscopic video,3-d videos
stereo video,3-d videos
3d video coding,3-d videos
auto stereoscopic,auto-stereoscopic display
parallax barriers,auto-stereoscopic display
auto stereoscopic,autostereoscopic display
parallax barriers,autostereoscopic display
auto-stereoscopic display,3-d displays
autostereoscopic display,3-d displays
holographic displays,3-d displays
auto-stereoscopic display,3d display
autostereoscopic display,3d display
holographic displays,3d display
multiple views,multi-views
multiview video,multi-views
multi-view video,multi-views
multi-view image,multi-views
multiview video coding,multi-views
multi-view video coding,multi-views
view synthesis,multi-views
multi-view learning,multi-views
multi-view stereo,multi-views
folksonomy,web2.0
folksonomies,web2.0
web 2.0 applications,web2.0
social software,web2.0
wiki,web2.0
mashup,web2.0
enterprise 2.0,web2.0
ajax,web2.0
