Child,Parent
Compact bone of left fourth rib,Compact bone of fourth rib
Extensor pollicis longus tendon groove of left radius,Extensor pollicis longus tendon groove of radius
Compact bone of neck of left talus,Compact bone of neck of talus
Right primary second upper molar tooth,Primary second upper molar tooth
Trunk of right third anterior intercostal vein,Trunk of third anterior intercostal vein
Left eighth thoracic rotator,Eighth thoracic rotator
Medial surface of right ovary,Medial surface of ovary
Muscular tributary of ventral tributary of left first lumbar vein,Muscular tributary of ventral tributary of first lumbar vein
Trabecular bone of articular process of axis,Trabecular bone of atlas
Lateral ramus of trunk of anterior basal segmental vein,Tributary of trunk of anterior basal segmental vein
Compact bone of distal part of left scaphoid,Compact bone of distal part of scaphoid
External surface of ascending colon,Surface of ascending colon
Conchal part of left pinna,Conchal part of pinna
Triangular ligament,Region of coronary ligament
Branch of left anterior choroidal artery to left globus pallidus,Branch of anterior choroidal artery to globus pallidus
Lateral proper palmar digital branch of right median nerve to right ring finger,Lateral proper palmar digital branch of median nerve to ring finger
Trunk of spinal tributary of left third lumbar vein,Trunk of spinal tributary of third lumbar vein
Bony part of spinous process of second thoracic vertebra,Bony part of spinous process of thoracic vertebra
Wall of thoracic part of trachea,Region of wall of trachea
Intranuclear mitochondrion,Mitochondrion
Polar part of left superior frontal gyrus,Polar part of superior frontal gyrus
Communicating branch of left iliohypogastric nerve with left subcostal nerve,Communicating branch of iliohypogastric nerve with subcostal nerve
Right geniohyoid,Geniohyoid
Vein of right olfactory gyrus,Vein of olfactory gyrus
Inferior surface of clavicle,Region of surface of clavicle
Meningeal branch of fifth sacral nerve,Meningeal branch of sacral nerve
Nerve to zygomaticus major,Branch of upper deep buccal branch of facial nerve
Compact bone of lamina of ninth thoracic vertebra,Compact bone of lamina of thoracic vertebra
Vasculature of breast,Vasculature of region of trunk
Vasculature of male breast,Vasculature of breast
Vasculature of right male breast,Vasculature of male breast
Synovial membrane of articular capsule of right T12-L1 vertebral arch joint,Synovial membrane of articular capsule of T12-L1 vertebral arch joint
Molecular layer of cortex of anterior lobe of cerebellum,Molecular layer of segment of cerebellar cortex
