Child,Parent
Untitled,bridge
Untitled,bridge
Nabataea (region),region
Nad-i Ali/Zarang?,ruin
Nad-i Ali/Zarang?,settlement
Nad-i Ali/Zarang?,archaeological-site
Niriz/Narezzash?,settlement
Oarakta (island),island
Persicus Sinus/Erythr(ae)um Mare,water-open
Phra(da)/Prophthasia/Frakh-kar-Peroz,settlement
Phra(da)/Prophthasia/Frakh-kar-Peroz,fort
Qal'a-i Sam,settlement
Sarapi(a)s (island),island
Sard-Kerman,region
Sarnios (river),river
Lighthouse at mouth of Oued Chélif,lighthouse
Unnamed Settlement at mouth of Oued Titinguel,settlement
Tumuli on Djebel Oulad Ali and Djebel Djerab,tumulus
Unnamed Settlement north of Castellum Tingitanum,settlement
Unnamed settlement southeast of Sidi-Ghilès,settlement
Villa of M. Hortensius Gaudentius,villa
Untitled,numbered feature
Untitled,tumulus
Groups of bazinas (tumuli),tomb
Groups of bazinas (tumuli),tumulus
Sar-o Tar,settlement
Shahristan/Zarang?,settlement
Shiragan/Sirjan,settlement
[Siraf],settlement
[Sohar],settlement
Tell-i Zohak/Pasa?/Bashiyan?,settlement
Tepe Yahya,settlement
Tepe Yahya,archaeological-site
Tepe Yahya,tell
Valashgerd,settlement
Varakhsha,settlement
Veh Ardashir/[Bardasir]/[Govasir],settlement
Wadi Samad,cemetery
Wadi Sirhan,river
Yazd,settlement
Zagrus (mountain),mountain
Addume (river),river
Akouensioi,unlocated
Akouensioi,people
Apollinis Pr.,unlocated
Avastomates,unlocated
Baiurae,unlocated
Baniures,unlocated
Barzufulitani,unlocated
Castellum Thudedensium,unlocated
Cafaves,unlocated
Cantauriani,unlocated
Chalka,unlocated
Fluminenses,unlocated
Gaionatis Fundus,unlocated
Gnouton,unlocated
Iar Kome,unlocated
Isaflenses,unlocated
Kanoukis,unlocated
Karepoula,unlocated
Limes Caputcellensis,unlocated
Mazucanus Fundus,unlocated
Modounga,unlocated
Repetiniana,unlocated
Salutaris Silonensis Pagus,unlocated
Tamariceto Praesidium,unlocated
Tirinadi,unlocated
Usar,river
Velisci,unlocated
Zabenses,people
Achindana (river),unlocated
Achindana (river),river
Agris,unlocated
Alexandria in Carmania,unlocated
Alexandria in Carmania,settlement
Anamis/Andanis/Ananis (river),river
Aradarum/Hardea/Ardea,unlocated
Arai,people
Archedotis/Arciotis,unlocated
Artacoana/Artakauna,unlocated
Bacinora,unlocated
Badara/Balara,unlocated
Badgis,unlocated
Badis,unlocated
Bageia Pr.,unlocated
Bageia Pr.,cape
Bagradas (river),unlocated
Bagradas (river),river
Caumatis/Kanate/Kanthatis,unlocated
Cetrora,unlocated
Charadrai,people
Chelonophagoi,unlocated
Chelonophagoi,people
Dagaseira,unlocated
Daras,river
Dendrobosa,unlocated
Derane Billa/Derenobilla,unlocated
Guzeran-Ardashir/Kujaran,unlocated
Hictanis/Hyktanis,unlocated
Kanasida,unlocated
Karpella Pr.,unlocated
Kathraps,unlocated
Khwash/Qash,unlocated
Kophanta/Kophas,unlocated
Kophanta,unlocated
Kophanta,region
Kyiza,unlocated
Nih,unlocated
Ogyris (island),island
Omiza,unlocated
Organa/Turgana (island),island
Pantyene,unlocated
Parikane,unlocated
Parsika (mountain),unlocated
Parsika (mountain),mountain
Portospana,unlocated
Poura,unlocated
Pushang,unlocated
Rogana,unlocated
Sabis,unlocated
Sabis,unlocated
Saganos,unlocated
Salaros,unlocated
Salmous,unlocated
Semiramis (mountain),unlocated
Semiramis (mountain),mountain
Sidodone,unlocated
Sigara/Sigana,unlocated
Soxotai,people
Talmena,unlocated
Tazora,unlocated
Teisa,unlocated
Zetis,unlocated
Zetis,settlement
Zorambos,unlocated
Ad Portum?,station
Ad Rubras?,station
Ad Sava Municipium,settlement
Cemetery at Ain bou Merzoug,cemetery
Ain Smara,quarry
Alpes Numidicae,mountain
Alpes Numidicae,label
Am(p)saga (river),river
Aquae Thibilitanae,settlement
Aquae Thibilitanae,settlement-modern
Assarath (river),river
*Astora?,settlement
Asuccuris?,settlement
Azimacia,settlement
Bou Nouara,cemetery
Calama,settlement
Caput Amsagae,spring
Caput Amsagae,spring
Castellum Arsacalitanum,settlement
